# DATI SIMULATI: prodotti da cubesat-mission-sim, non provengono da alcun satellite reale.
seed,detumble_time_h,release_rate_x_deg_s,release_rate_y_deg_s,release_rate_z_deg_s
33,2.1058333333333334,-8.420160132957026,5.3689544873875485,-0.5246246731923925
34,1.2238888888888888,9.480510504282082,-3.063105294774861,0.8586655526567515
35,1.8972222222222221,7.132202484599988,0.01629696057403428,-7.009381008886722
36,1.9041666666666666,9.46152962071767,1.1256868834736276,3.0351748346112775
37,0.8255555555555556,3.4358016109077054,1.8866227507859616,-9.199778360737874
38,2.0541666666666667,2.2835253531387028,7.749875990873658,-5.89278661480736
39,2.1544444444444446,-9.045198216790446,2.6641620330161033,3.329659123815289
40,2.3088888888888888,-6.8675573091185935,-6.788826061085518,-2.5977870040282114
41,1.9925,-7.664791424834948,6.399812222683551,0.5416418818434079
42,1.7341666666666666,-8.30524590273565,-5.5431706598057895,0.5441962250520699
43,2.1352777777777776,-8.98744022011072,4.384092753281671,0.07515996646703402
44,1.9702777777777778,7.658397674260101,5.379328862101163,-3.5230336439286085
45,1.7027777777777777,-2.429446105242072,4.294248046545077,8.698116194698017
46,2.013888888888889,-6.3310373598856176,-7.739643928929297,-0.12600714710047461
47,2.155,-7.92299818589668,-4.4969705227391925,-4.123512563809247
48,1.6669444444444443,1.2075851919795422,-7.583329471841792,6.405845153108794
49,1.4188888888888889,1.9699485190228907,1.7876060670506981,-9.63969747354361
50,1.8691666666666666,9.465935556666118,-1.084913854610698,3.036284895249112
51,1.9891666666666667,-2.3156123266997723,-7.87590760033368,-5.7103431616184155
52,1.846111111111111,4.232476540551552,8.714235501052878,2.47956487430163
53,1.8747222222222222,-6.258024854365958,2.8293778685084607,7.2685449575092
54,2.082777777777778,-3.429002035171626,8.605768891341988,-3.7659908167173435
55,1.8977777777777778,-6.381508290420062,0.27296976485449775,7.69427315909536
56,1.741111111111111,2.1887702360675716,8.762870790228062,4.292013556301113
57,1.4783333333333333,1.2650011735663889,2.925817861802306,-9.478362826481915
58,2.0105555555555554,-7.005681258952681,-2.058200971113292,6.83258654247917
59,1.2138888888888888,-8.42693915696277,-5.316021203833709,-0.852417154471909
60,1.7761111111111112,-6.2453201461871135,5.255985058028578,5.776728948237894
61,2.2058333333333335,-8.578107880907563,3.1573948948072275,4.0554805709997925
62,1.9419444444444445,-9.233275109857527,-2.9319675752691725,-2.4799590487053766
63,1.5133333333333334,5.7231585931410525,4.961335763545706,6.529211526602432
64,2.1269444444444443,6.466466381567273,5.93349771405176,-4.7935808549979395
65,2.331111111111111,-6.424728506806697,-7.612345769951229,0.8803723601584691
66,2.1991666666666667,-6.30857282502282,-7.382540069167168,2.387469589026173
67,1.6847222222222222,8.240986161953403,4.8329155529067815,2.9545006916506638
68,1.9033333333333333,8.531682530639602,5.209863635084087,0.26021933096418515
69,2.0091666666666668,-7.450309511024718,4.869809133976587,4.558272390782807
70,2.161388888888889,6.747967641385382,-7.037098373389537,2.223551032482526
71,1.9536111111111112,6.319561839559307,6.421054063798947,4.339723823673209
72,2.0766666666666667,-7.097782289478843,-4.86515672505394,5.094284700703612
73,2.2425,1.6506255450078084,-9.55116638347628,2.4598081277449837
74,2.175,-9.362742572477789,-3.482866436400581,0.45682918876350065
75,2.1119444444444446,7.52707602417817,0.3647637394466127,6.573436996018679
76,1.9938888888888888,5.369500611334504,-7.827490234349215,3.1462453521691622
77,1.9133333333333333,8.65810463198357,-1.8766320669940526,-4.638477796298513
78,2.1275,8.986461607892823,-4.347229567259206,0.5874545594474914
79,1.4252777777777779,5.810556951462771,0.033048641874298096,-8.138570863553252
80,2.075833333333333,-4.1833912883867175,9.070598621583063,0.47273457075358
81,1.825,6.760665885629125,0.24601840080311288,7.364297096760617
82,1.835,-3.075881237084407,-3.8675459785351753,-8.693735832153429
83,1.9388888888888889,-6.5078992761615355,7.468322544995179,1.3679931926924482
84,2.15,-8.779315286139774,-1.2316584821968841,4.626731080340093
85,1.9116666666666666,-1.682569214871712,6.553268579017184,7.363669721574434
86,1.7033333333333334,-7.816694186592542,4.931427945775254,3.8184172649040375
87,1.9572222222222222,-5.515352128751362,-4.881453186276317,6.764045068305697
88,1.92,-2.8536717993690877,6.668673108626251,6.8837022184120285
89,2.1866666666666665,8.364820730762183,2.9946989057259428,4.589286720859254
90,1.1219444444444444,-1.7554110192515247,0.03812119590805403,9.844647222115826
91,1.2647222222222223,8.48982758053926,-3.0549456074252324,-4.311627881483766
92,2.243611111111111,-2.9854389445060066,7.90700692686814,-5.344754041776487
93,1.9216666666666666,3.874812683709091,-4.899546815716581,-7.808986340541813
94,1.6302777777777777,4.361062048877877,-2.16092872519378,8.735646790619999
95,1.2933333333333332,-2.9967027350667235,8.127232562476202,4.996785325894052
96,1.8077777777777777,-2.1677223307213724,8.645791495553864,-4.533350781960336
97,1.8347222222222221,-7.743119890706111,-5.59478764663129,-2.9567626802388616
98,2.218611111111111,3.599692030129535,8.965188455505658,-2.5821721951663092
99,2.163611111111111,-7.093733979681873,6.801556387917534,-1.8487208895571483
